Lipids,OW40_1,OW40_2,OW40_3,OW40_5,OW40_6,OW40_7,OW450_2,OW450_3,OW450_7,OW450_1,OW450_5,OW450_6
DG(15:0/19:0/0:0),2.12222515754177e-5,1.17129600049999e-5,1.61269554067053e-5,1.05624480733025e-5,1.40104636355208e-5,9.92694255694388e-6,9.23751796893504e-5,1.19988133797951e-4,8.86528496085222e-5,1.00706507603288e-4,9.4082140802641e-5,8.57519175245247e-5
DG(18:1/16:0/0:0),8.81249931534383e-4,7.5796324771408e-4,7.67502937973334e-4,6.49119911600509e-4,7.98272587379214e-4,8.69974170802674e-4,4.97527421186009e-4,6.03643872923942e-4,6.12023538673257e-4,6.11751509178684e-4,6.36040058399079e-4,5.1868101897056e-4
DG(18:1/17:0/0:0),5.17446399671707e-6,5.86228859306305e-6,2.63608236168098e-6,7.0798912342726e-6,1.54276215677291e-6,6.87126722559307e-6,1.43963784814369e-5,5.74045975797133e-6,5.27185233604501e-6,7.31132315018803e-6,1.27216074246057e-5,1.36994220664977e-5
DG(18:2/18:0/0:0),1.00448347886126e-4,9.12184216914574e-5,6.24860733501239e-5,7.49348600963026e-5,4.46940908590731e-5,9.42658438551687e-5,3.37202591509676e-4,1.62038236210046e-4,1.27310509587641e-4,1.66301926738576e-4,3.09405552448509e-4,3.03815334405613e-4
DG(18:2/19:0/0:0),2.4429372057352e-6,3.91719730683132e-6,0,1.66813700934351e-6,0,1.36105341229233e-6,1.71498831884409e-5,7.53641188464843e-6,5.77948214625728e-6,7.33498462887127e-6,1.45252186653674e-5,1.73167728294159e-5
DG(20:5/18:0/0:0),5.88445158863749e-4,6.85201444423395e-4,3.93449766326312e-4,4.70943230522434e-4,3.64150888435944e-4,7.86800375982446e-4,7.710506315804e-4,2.3944900082866e-4,3.20655159546959e-4,6.17097633375214e-4,6.44304725534742e-4,7.00000716752742e-4
DG(22:6/16:0/0:0),8.50945355660665e-5,6.14650125994391e-5,5.5806447586052e-5,5.89754103668282e-5,4.08213960708999e-5,8.35176258502757e-5,2.09975479731382e-4,9.28478021133134e-5,1.04315390301087e-4,9.61969863099634e-5,1.98913130098998e-4,1.92074729573165e-4
FA16:0,0.00138994908238074,0.00148522215849635,0.00171052840061979,0.00210524356971154,0.00297986612988492,0.00166282413544365,0.00186508846888441,0.00247131788835648,0.00147565012230372,0.00171100469636257,0.00168077854225206,0.00146668227731655
FA16:0(2-Meth),5.26069172972395e-5,5.44082819892018e-5,5.80442844649859e-5,4.53447436536223e-5,4.2826203271908e-5,5.65787823166702e-5,4.27995825477306e-5,3.73175561219638e-5,2.55897311364052e-5,2.77339810867659e-5,5.75727465645807e-5,3.22272683444593e-5
FA17:1(6Z),0.00183311719141624,0.00218138244393579,0.00221795061041869,9.9316255579342e-4,0.00103010068984366,0.00224478321270565,0.00280474531389795,0.0030707024510951,0.00227167558940769,0.00240987576548099,0.00337410734088051,0.00246979015808249
